Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 50.00      0.02     0.02                             luaV_execute
 25.00      0.03     0.01  1443116     0.00     0.00  std::iterator_traits<char const*>::difference_type std::distance<char const*>(char const*, char const*)
 25.00      0.04     0.01    87611     0.00     0.00  rf::Bitstream::find_byte(char, int&, bool)
  0.00      0.04     0.00  1443116     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char const>(char const*)
  0.00      0.04     0.00  1443116     0.00     0.00  std::iterator_traits<char const*>::difference_type std::__distance<char const*>(char const*, char const*, std::random_access_iterator_tag)
  0.00      0.04     0.00  1443116     0.00     0.00  std::iterator_traits<char const*>::iterator_category std::__iterator_category<char const*>(char const* const&)
  0.00      0.04     0.00   721413     0.00     0.00  rf::failed(bool, int, std::string const&, std::string const&)
  0.00      0.04     0.00   447365     0.00     0.00  std::unique_ptr<std::basic_streambuf<char, std::char_traits<char> >, std::default_delete<std::basic_streambuf<char, std::char_traits<char> > > >::get() const
  0.00      0.04     0.00   447365     0.00     0.00  std::_Head_base<0ul, std::basic_streambuf<char, std::char_traits<char> >*, false>::_M_head(std::_Head_base<0ul, std::basic_streambuf<char, std::char_traits<char> >*, false> const&)
  0.00      0.04     0.00   447365     0.00     0.00  std::_Tuple_impl<0ul, std::basic_streambuf<char, std::char_traits<char> >*, std::default_delete<std::basic_streambuf<char, std::char_traits<char> > > >::_M_head(std::_Tuple_impl<0ul, std::basic_streambuf<char, std::char_traits<char> >*, std::default_delete<std::basic_streambuf<char, std::char_traits<char> > > > const&)
  0.00      0.04     0.00   447365     0.00     0.00  std::__add_c_ref<std::basic_streambuf<char, std::char_traits<char> >*>::type std::__get_helper<0ul, std::basic_streambuf<char, std::char_traits<char> >*, std::default_delete<std::basic_streambuf<char, std::char_traits<char> > > >(std::_Tuple_impl<0ul, std::basic_streambuf<char, std::char_traits<char> >*, std::default_delete<std::basic_streambuf<char, std::char_traits<char> > > > const&)
  0.00      0.04     0.00   447365     0.00     0.00  std::__add_c_ref<std::tuple_element<0ul, std::tuple<std::basic_streambuf<char, std::char_traits<char> >*, std::default_delete<std::basic_streambuf<char, std::char_traits<char> > > > >::type>::type std::get<0ul, std::basic_streambuf<char, std::char_traits<char> >*, std::default_delete<std::basic_streambuf<char, std::char_traits<char> > > >(std::tuple<std::basic_streambuf<char, std::char_traits<char> >*, std::default_delete<std::basic_streambuf<char, std::char_traits<char> > > > const&)
  0.00      0.04     0.00   359752     0.00     0.00  std::unique_ptr<std::basic_streambuf<char, std::char_traits<char> >, std::default_delete<std::basic_streambuf<char, std::char_traits<char> > > >::operator->() const
  0.00      0.04     0.00   352303     0.00     0.00  rf::Bitstream::check_byte(int) const
  0.00      0.04     0.00   352010     0.00     0.00  rf::Bitstream::check_offset_byte(int) const
  0.00      0.04     0.00   270232     0.00     0.00  std::fpos<__mbstate_t>::fpos(long)
  0.00      0.04     0.00   267776     0.00     0.00  std::operator|(std::_Ios_Openmode, std::_Ios_Openmode)
  0.00      0.04     0.00   267660     0.00     0.00  rf::Bitstream::sync()
  0.00      0.04     0.00   175292     0.00     0.00  rf::Bitstream::seekoff_byte(int)
  0.00      0.04     0.00    87812     0.00     0.00  rf::Bitstream::look_byte_string(char*, int)
  0.00      0.04     0.00     9347     0.00     0.00  rf::Bitstream::check_offset_bit(int) const
  0.00      0.04     0.00     9347     0.00     0.00  rf::Bitstream::check_bit(int) const
  0.00      0.04     0.00     5150     0.00     0.00  std::unique_ptr<char [], std::default_delete<char []> >::get() const
  0.00      0.04     0.00     5150     0.00     0.00  std::_Head_base<0ul, char*, false>::_M_head(std::_Head_base<0ul, char*, false> const&)
  0.00      0.04     0.00     5150     0.00     0.00  std::_Tuple_impl<0ul, char*, std::default_delete<char []> >::_M_head(std::_Tuple_impl<0ul, char*, std::default_delete<char []> > const&)
  0.00      0.04     0.00     5150     0.00     0.00  std::__add_c_ref<char*>::type std::__get_helper<0ul, char*, std::default_delete<char []> >(std::_Tuple_impl<0ul, char*, std::default_delete<char []> > const&)
  0.00      0.04     0.00     5150     0.00     0.00  std::__add_c_ref<std::tuple_element<0ul, std::tuple<char*, std::default_delete<char []> > >::type>::type std::get<0ul, char*, std::default_delete<char []> >(std::tuple<char*, std::default_delete<char []> > const&)
  0.00      0.04     0.00     4261     0.00     0.00  rf::Bitstream::seekoff_bit(int)
  0.00      0.04     0.00     3039     0.00     0.00  rf::Bitstream::read_bit(int, unsigned int&)
  0.00      0.04     0.00     2825     0.00     0.00  rf::Bitstream::byte_pos() const
  0.00      0.04     0.00     2593     0.00     0.00  rf::Bitstream::bit_pos() const
  0.00      0.04     0.00     2573     0.00     0.00  std::fpos<__mbstate_t>::operator long() const
  0.00      0.04     0.00     2572     0.00     0.00  rf::RingBuf::seekoff(long, std::_Ios_Seekdir, std::_Ios_Openmode)
