Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 25.00      0.01     0.01    37497     0.00     0.00  void rf::LuaBinder::push_stack<unsigned int>(lua_State*, unsigned int)
 25.00      0.02     0.01     3463     0.00     0.00  rf::LuaGlueBitstream::transfer_byte(char const*, rf::LuaGlueBitstream&, int, bool)
 25.00      0.03     0.01                             luaV_gettable
 12.50      0.04     0.01        1     5.00     5.00  std::__array_traits<bool (rf::LuaGlueBitstream::*)(char const*, int, char const*), 1ul>::_S_ref(bool (rf::LuaGlueBitstream::* const (&) [1])(char const*, int, char const*), unsigned long)
 12.50      0.04     0.01        1     5.00    10.00  std::array<bool (rf::LuaGlueBitstream::*)(char const*, int, char const*), 1ul>::operator[](unsigned long)
  0.00      0.04     0.00   584026     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char const>(char const*)
  0.00      0.04     0.00   584026     0.00     0.00  std::iterator_traits<char const*>::difference_type std::__distance<char const*>(char const*, char const*, std::random_access_iterator_tag)
  0.00      0.04     0.00   584026     0.00     0.00  std::iterator_traits<char const*>::iterator_category std::__iterator_category<char const*>(char const* const&)
  0.00      0.04     0.00   584026     0.00     0.00  std::iterator_traits<char const*>::difference_type std::distance<char const*>(char const*, char const*)
  0.00      0.04     0.00   291839     0.00     0.00  rf::failed(bool, int, std::string const&, std::string const&)
  0.00      0.04     0.00   148994     0.00     0.00  std::unique_ptr<std::basic_streambuf<char, std::char_traits<char> >, std::default_delete<std::basic_streambuf<char, std::char_traits<char> > > >::get() const
  0.00      0.04     0.00   148994     0.00     0.00  std::_Head_base<0ul, std::basic_streambuf<char, std::char_traits<char> >*, false>::_M_head(std::_Head_base<0ul, std::basic_streambuf<char, std::char_traits<char> >*, false> const&)
  0.00      0.04     0.00   148994     0.00     0.00  std::_Tuple_impl<0ul, std::basic_streambuf<char, std::char_traits<char> >*, std::default_delete<std::basic_streambuf<char, std::char_traits<char> > > >::_M_head(std::_Tuple_impl<0ul, std::basic_streambuf<char, std::char_traits<char> >*, std::default_delete<std::basic_streambuf<char, std::char_traits<char> > > > const&)
  0.00      0.04     0.00   148994     0.00     0.00  std::__add_c_ref<std::basic_streambuf<char, std::char_traits<char> >*>::type std::__get_helper<0ul, std::basic_streambuf<char, std::char_traits<char> >*, std::default_delete<std::basic_streambuf<char, std::char_traits<char> > > >(std::_Tuple_impl<0ul, std::basic_streambuf<char, std::char_traits<char> >*, std::default_delete<std::basic_streambuf<char, std::char_traits<char> > > > const&)
  0.00      0.04     0.00   148994     0.00     0.00  std::__add_c_ref<std::tuple_element<0ul, std::tuple<std::basic_streambuf<char, std::char_traits<char> >*, std::default_delete<std::basic_streambuf<char, std::char_traits<char> > > > >::type>::type std::get<0ul, std::basic_streambuf<char, std::char_traits<char> >*, std::default_delete<std::basic_streambuf<char, std::char_traits<char> > > >(std::tuple<std::basic_streambuf<char, std::char_traits<char> >*, std::default_delete<std::basic_streambuf<char, std::char_traits<char> > > > const&)
  0.00      0.04     0.00   142627     0.00     0.00  std::unique_ptr<std::basic_streambuf<char, std::char_traits<char> >, std::default_delete<std::basic_streambuf<char, std::char_traits<char> > > >::operator->() const
  0.00      0.04     0.00   135344     0.00     0.00  rf::Bitstream::check_offset_bit(int) const
  0.00      0.04     0.00   135344     0.00     0.00  rf::Bitstream::check_bit(int) const
  0.00      0.04     0.00    87992     0.00     0.00  std::fpos<__mbstate_t>::fpos(long)
  0.00      0.04     0.00    79693     0.00     0.00  std::operator|(std::_Ios_Openmode, std::_Ios_Openmode)
  0.00      0.04     0.00    76127     0.00     0.00  rf::Bitstream::sync()
  0.00      0.04     0.00    60848     0.00     0.00  rf::Bitstream::byte_pos() const
  0.00      0.04     0.00    56998     0.00     0.00  rf::LuaGlueBitstream::bit_pos()
  0.00      0.04     0.00    56998     0.00     0.00  rf::LuaGlueBitstream::byte_pos()
  0.00      0.04     0.00    56998     0.00     0.00  rf::Bitstream::bit_pos() const
  0.00      0.04     0.00    56870     0.00     0.00  rf::Bitstream::seekoff_bit(int)
  0.00      0.04     0.00    41728     0.00     0.00  int rf::LuaBinder::get_stack<int>(lua_State*, int, std::enable_if<rf::LuaBinder::is_number<int>::value, void>::type*)
  0.00      0.04     0.00    41245     0.00     0.00  char const* rf::LuaBinder::get_stack<char const*>(lua_State*, int, std::enable_if<rf::LuaBinder::is_string<char const*>::value, void>::type*)
  0.00      0.04     0.00    41055     0.00     0.00  rf::LuaGlueBitstream::read_bit(char const*, int)
  0.00      0.04     0.00    39690     0.00     0.00  void rf::LuaBinder::push_stack<int>(lua_State*, int)
  0.00      0.04     0.00    37404     0.00     0.00  std::__array_traits<unsigned int (rf::LuaGlueBitstream::*)(char const*, int), 1ul>::_S_ref(unsigned int (rf::LuaGlueBitstream::* const (&) [1])(char const*, int), unsigned long)
  0.00      0.04     0.00    37404     0.00     0.00  std::array<unsigned int (rf::LuaGlueBitstream::*)(char const*, int), 1ul>::operator[](unsigned long)
  0.00      0.04     0.00    37402     0.00     0.00  rf::LuaBinder::invoker<unsigned int (rf::LuaGlueBitstream::*)(char const*, int), rf::LuaBinder::intetgral_sequence<unsigned long, 2ul, 3ul>, void>::apply(lua_State*)
  0.00      0.04     0.00    37324     0.00     0.00  rf::Bitstream::read_bit(int, unsigned int&)
  0.00      0.04     0.00    35843     0.00     0.00  std::__array_traits<int (rf::LuaGlueBitstream::*)(), 1ul>::_S_ref(int (rf::LuaGlueBitstream::* const (&) [1])(), unsigned long)
  0.00      0.04     0.00    35843     0.00     0.00  std::array<int (rf::LuaGlueBitstream::*)(), 1ul>::operator[](unsigned long)
  0.00      0.04     0.00    35840     0.00     0.00  rf::LuaBinder::invoker<int (rf::LuaGlueBitstream::*)(), rf::LuaBinder::intetgral_sequence<unsigned long>, void>::apply(lua_State*)
  0.00      0.04     0.00    33164     0.00     0.00  rf::Bitstream::check_byte(int) const
  0.00      0.04     0.00    32876     0.00     0.00  rf::Bitstream::check_offset_byte(int) const
  0.00      0.04     0.00    23742     0.00     0.00  std::unique_ptr<char [], std::default_delete<char []> >::get() const
  0.00      0.04     0.00    23742     0.00     0.00  std::_Head_base<0ul, char*, false>::_M_head(std::_Head_base<0ul, char*, false> const&)
  0.00      0.04     0.00    23742     0.00     0.00  std::_Tuple_impl<0ul, char*, std::default_delete<char []> >::_M_head(std::_Tuple_impl<0ul, char*, std::default_delete<char []> > const&)
  0.00      0.04     0.00    23742     0.00     0.00  std::__add_c_ref<char*>::type std::__get_helper<0ul, char*, std::default_delete<char []> >(std::_Tuple_impl<0ul, char*, std::default_delete<char []> > const&)
  0.00      0.04     0.00    23742     0.00     0.00  std::__add_c_ref<std::tuple_element<0ul, std::tuple<char*, std::default_delete<char []> > >::type>::type std::get<0ul, char*, std::default_delete<char []> >(std::tuple<char*, std::default_delete<char []> > const&)
  0.00      0.04     0.00    11866     0.00     0.00  std::fpos<__mbstate_t>::operator long() const
  0.00      0.04     0.00    11865     0.00     0.00  rf::RingBuf::seekoff(long, std::_Ios_Seekdir, std::_Ios_Openmode)
  0.00      0.04     0.00     9993     0.00     0.00  rf::Bitstream::look_byte_string(char*, int)
  0.00      0.04     0.00     8973     0.00     0.00  rf::Bitstream::seekoff_byte(int)
  0.00      0.04     0.00     7553     0.00     0.00  rf::LuaGlueBitstream::read_byte(char const*, int)
  0.00      0.04     0.00     7419     0.00     0.00  bool rf::LuaBinder::get_stack<bool>(lua_State*, int, std::enable_if<rf::LuaBinder::is_boolean<bool>::value, void>::type*)
  0.00      0.04     0.00     6364     0.00     0.00  rf::Bitstream::find_byte(char, int&, bool)
  0.00      0.04     0.00     3954     0.00     0.00  rf::LuaGlueBitstream::size()
  0.00      0.04     0.00     3954     0.00     0.00  rf::Bitstream::size() const
  0.00      0.04     0.00     3938     0.00     0.00  rf::valid_ptr(void const*)
  0.00      0.04     0.00     3849     0.00     0.00  rf::LuaBinder::push_stack(lua_State*, bool)
  0.00      0.04     0.00     3826     0.00     0.00  rf::LuaGlueBitstream::seekoff_bit(int)
  0.00      0.04     0.00     3826     0.00     0.00  int const& std::min<int>(int const&, int const&)
  0.00      0.04     0.00     3661     0.00     0.00  std::__array_traits<int (rf::LuaGlueBitstream::*)(char, bool), 1ul>::_S_ref(int (rf::LuaGlueBitstream::* const (&) [1])(char, bool), unsigned long)
  0.00      0.04     0.00     3661     0.00     0.00  std::array<int (rf::LuaGlueBitstream::*)(char, bool), 1ul>::operator[](unsigned long)
  0.00      0.04     0.00     3660     0.00     0.00  rf::LuaGlueBitstream::find_byte(char, bool)
  0.00      0.04     0.00     3660     0.00     0.00  rf::LuaBinder::invoker<int (rf::LuaGlueBitstream::*)(char, bool), rf::LuaBinder::intetgral_sequence<unsigned long, 2ul, 3ul>, void>::apply(lua_State*)
  0.00      0.04     0.00     3660     0.00     0.00  char rf::LuaBinder::get_stack<char>(lua_State*, int, std::enable_if<rf::LuaBinder::is_number<char>::value, void>::type*)
  0.00      0.04     0.00     3562     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char>(char*)
  0.00      0.04     0.00     3562     0.00     0.00  std::iterator_traits<char*>::difference_type std::__distance<char*>(char*, char*, std::random_access_iterator_tag)
  0.00      0.04     0.00     3562     0.00     0.00  std::iterator_traits<char*>::iterator_category std::__iterator_category<char*>(char* const&)
  0.00      0.04     0.00     3562     0.00     0.00  std::iterator_traits<char*>::difference_type std::distance<char*>(char*, char*)
  0.00      0.04     0.00     3558     0.00     0.00  rf::LuaGlueBitstream& rf::LuaBinder::get_stack<rf::LuaGlueBitstream&>(lua_State*, int, std::enable_if<!rf::LuaBinder::is_basic_type<rf::LuaGlueBitstream&>::value, void>::type*)
  0.00      0.04     0.00     3464     0.00     0.00  std::__array_traits<bool (rf::LuaGlueBitstream::*)(char const*, rf::LuaGlueBitstream&, int, bool), 1ul>::_S_ref(bool (rf::LuaGlueBitstream::* const (&) [1])(char const*, rf::LuaGlueBitstream&, int, bool), unsigned long)
  0.00      0.04     0.00     3464     0.00     0.00  std::array<bool (rf::LuaGlueBitstream::*)(char const*, rf::LuaGlueBitstream&, int, bool), 1ul>::operator[](unsigned long)
  0.00      0.04     0.00     3463     0.00     0.00  rf::LuaGlueBitstream::write_byte_string(char const*, int)
  0.00      0.04     0.00     3463     0.00     0.00  rf::Bitstream::write_byte_string(char const*, int)
  0.00      0.04     0.00     3463     0.00     0.00  rf::LuaBinder::invoker<bool (rf::LuaGlueBitstream::*)(char const*, rf::LuaGlueBitstream&, int, bool), rf::LuaBinder::intetgral_sequence<unsigned long, 2ul, 3ul, 4ul, 5ul>, void>::apply(lua_State*)
  0.00      0.04     0.00      297     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > >*)
  0.00      0.04     0.00      288     0.00     0.00  rf::Bitstream::seekpos(int, int)
  0.00      0.04     0.00      276     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > >::_M_ptr() const
  0.00      0.04     0.00      276     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > >::_M_addr() const
  0.00      0.04     0.00      276     0.00     0.00  std::_Select1st<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > >::operator()(std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > const&) const
  0.00      0.04     0.00      276     0.00     0.00  std::_Rb_tree_node<std::pair<std::string const, std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > > >::_M_valptr() const
  0.00      0.04     0.00      276     0.00     0.00  std::less<std::string>::operator()(std::string const&, std::string const&) const
  0.00      0.04     0.00      276     0.00     0.00  bool std::operator< <char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.04     0.00      202     0.00     0.00  std::unique_ptr<std::basic_ofstream<char, std::char_traits<char> >, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > >::get() const
  0.00      0.04     0.00      202     0.00     0.00  std::_Head_base<0ul, std::basic_ofstream<char, std::char_traits<char> >*, false>::_M_head(std::_Head_base<0ul, std::basic_ofstream<char, std::char_traits<char> >*, false> const&)
  0.00      0.04     0.00      202     0.00     0.00  std::_Tuple_impl<0ul, std::basic_ofstream<char, std::char_traits<char> >*, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > >::_M_head(std::_Tuple_impl<0ul, std::basic_ofstream<char, std::char_traits<char> >*, std::default_delete<std::basic_ofstream<char, std::char_traits<char> > > > const&)
